,Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
2736,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,,,,der Anwendung numerischer computerorientierter Methoden ,"Redundanz, Gedächtnis und Quellencodierung (Shannon-Fano- ",,, 
2737,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,,,,der Mechanik mit einem besonderen Fokus auf biomechanische ,und Huffmann-Verfahren). ,,, 
2738,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,,,,und medizintechnische Anwendungen. Die Vorlesung bietet eine ,Kontinuierliche Quellen. ,,, 
2739,,,,,,,,,,,, ,,,,,Einführung in die mathematische Modellbildung und die ,"Diskrete und kontinuierliche Kanäle, Kanalentropien und ",,, 
2740,,,,,,,,,,,, ,,,,,Grundlagen der näherungsweisen Berechnung von technischen ,Kanalkapazität ,,,Seite 450   Inhaltsverzeichnis 
2741,,,,,,,,,,,,,,,,,Problemstellungen. Die Studenten werden mit heute gängigen ,Kanalcodierung und Hamming-Raum ,,,     
2742,,,,,,,,,,,,,,,,,Softwaretools zur Lösung technischer Problemstellungen ,Lineare Blockcodes ,,, 
2743,,,,,,,,,,,,,,,,,bekannt gemacht und erwerben Fähigkeiten zur selbständigen ,Zyklische Codes ,,,Fördertechnik – Elemente und Triebwerke; Fördermaschinen 
2744,,,,,,,,,,,,,,,,,Lösung von Fragestellungen der Biomechanik ,Syndromdecodierung ,,,(Hsrg.: Scheffler) 
2745,,,,,,,,,,,,,,,,, , ,,,"Grundlagen der Logistik (Hrsg.: H. Krampe, J. Lucke, Hussverlag, "
2746,,,,,,,,,,,,,,,,,In der Lehrveranstaltung erwerben die Studenten Kenntnisse in ,"Grundlagen zur Projektion: Darstellung, Durchdringung und ",,,2006) 
2747,,,,,,,,,,,,,,,,,"der Anwendung numerischer, computerorientierter Methoden ","Abwicklung von Körpern, ",,,"Gudehus, T.: Logistik: Grundlagen, Strategien, Anwendungen. "
2748,,,,,,,,,,,,,,,,,im Ingenieurwesen. Der Schwerpunkt liegt auf der Vermittlung ,Grundlagen zum norm- und fertigungsgerechten Darstellen von ,,,Springer 2005 
2749,,,,,,,,,,,,,,,,,von grundlegender Kenntnisse auf dem Gebiet der Finite-,Einzelteilen und Baugruppen sowie zum Erkennen funktionaler ,,,Handbuch Logistik. Hrsg.: D. Arnold. Springer 2002 
2750,,,,,,,,,,,,,,,,,Element-Methode. ,"Zusammenhänge, ",,, 
2751,,,,,,,,,,,,,,,,,Lernziele und erworbene Kompetenzen: ,"Grundlagen zu Gestaltabweichungen, ",,, 
2752,,,,,,,,,,,,,,,,,"The module provides an introduction to the formulation, theory, ",Einführende Grundlagen zur konstruktiven Entwicklung ,,, 
2753,,,,,,,,,,,,,,,,,solution and application of optimal control theory/dynamic ,technischer Gebilde ,,, 
2754,,,,,,,,,,,,,,,,,optimization. The students are enabled to formulate and solve , ,,, 
2755,,,,,,,,,,,,,,,,,optimal control problems appearing in many applications ,Inhalte: ,,,Seite 452   Inhaltsverzeichnis 
2756,,,,,,,,,,,,,,,,,"spanning from medicine, process control up to systems biology. ",Grundlagen der Dimensionierung ,,,     
2757,,,,,,,,,,,,,,,,,Besides the theoretical basis numerical solution approaches for ,"Aufgaben, Funktion und Dimensionierung von Verbindungsele-",,, 
2758,,,,,,,,,,,,,,,,,optimal control problems are provided. ,"menten, ",,, 
2759,,,,,,,,,,,,,,,,,Anwendung der Methoden der Organic Computing und des ,"Welle-Nabe-Verbindungen, Federn, Achsen und Wellen, ",,, 
2760,,,,,,,,,,,,,,,,,maschinellen Lernens zur Handhebung komplexer Systeme ,"Wälzlagern, Gleitlagern, Dichtungen, Kupplungen und Bremsen, ",,, 
2761,,,,,,,,,,,,,,,,, ,Zahnrädern und Zahnradgetrieben und Zugmittelgetrieben ,,,Seite 453   Inhaltsverzeichnis 
2762,,,,,,,,,,,,,,,,,"Ziel der Veranstaltung ist es, Methoden zur Moderation von ","Produktentwicklungsprozess - Modell, Phasen, ",,,     
2763,,,,,,,,,,,,,,,,,Gruppenarbeit zu erlernen. Zu diesem Zweck werden ,"Konstruktionsarten, ",,, 
2764,,,,,,,,,,,,,,,,,theoretisches Wissen und praktische Übungen aus den ,"Notwendigkeit des method. Konstruierens, systemtechn. u. ",,, 
2765,,,,,,,,,,,,,,,,,"Bereichen Organisations- und Personalentwicklung, intra- und ","methodische Grundlagen, ",,, 
2766,,,,,,,,,,,,,,,,,"interpersonelle Kommunikation, Intra- und ","Methoden zur Produktplanung, Lösungssuche und Beurteilung, ",,, 
2767,,,,,,,,,,,,,,,,,"Intergruppenverhalten, Kreativität und strukturierte ","Bewährte Lösungskomponenten, ",,, 
2768,,,,,,,,,,,,,,,,,Problemlösung vermittelt und durchgeführt. ,"Entwickeln von Baureihen und Baukästen,Methoden zur ",,, 
2769,,,,,,,,,,,,,,,,,Participants will learn how parallel applications perform I/O ,"qualitätssichernden Prod.entw., ",,, 
2770,,,,,,,,,,,,,,,,,using different programming concepts and how I/O can be , Kostenerkennung ,,,Seite 455   Inhaltsverzeichnis 
2771,,,,,,,,,,,,,,,,,"optimized. Additionally, they will gain insight into and practical ", ,,,     
2772,,,,,,,,,,,,,,,,,experience with the internals of storage and file systems. , ,,, 
2773,,,,,,,,,,,,,,,,,"Die Teilnehmenden lernen, parallele Programme mit ",Seite 414   Inhaltsverzeichnis ,,, 
2774,,,,,,,,,,,,,,,,,"verschiedenen Programmieransätzen zu erstellen, zur ",     ,,, 
2775,,,,,,,,,,,,,,,,,Ausführung zu bringen und im Ablauf zu optimieren. Außerdem , ,,, 
2776,,,,,,,,,,,,,,,,,werden weitere Konzepte zur Parallelisierung vermittelt und in , ,,, 
2777,,,,,,,,,,,,,,,,,den Übungen praktisch umgesetzt. ,Themenstellungen der Vorlesung: ,,, 
2778,,,,,,,,,,,,,,,,, ,Methodische Grundlagen: Produktdatenmanagement ,,, 
2779,,,,,,,,,,,,,,,,,Nach dem erfolgreichen Abschluss des Praktikums verfügen die ,Methodische Grundlagen für PLM ,,,Seite 457   Inhaltsverzeichnis 
2780,,,,,,,,,,,,,,,,,Studierenden über Einblicke in die Betriebsabläufe und -,"Konzepte, Werkzeuge für Analyse und Modellierung integrierter ",,,     
2781,,,,,,,,,,,,,,,,,"organisation in der Industrie bzw. in öffentlichen Einrichtungen, ",Produktmodelle ,,, 
2782,,,,,,,,,,,,,,,,,sowie in die Sozialstrukturen von Betrieben/Organisationen. ,"Werkzeuge für die PDM / PLM Integration (CAD, CAE) ",,,Skript zur Vorlesung mit umfangreicher Angabe weiterführender 
2783,,,,,,,,,,,,,,,,,Sie kennen typische Aufgaben in Forschung und Entwicklung ,Organisatorische Voraussetzungen der PDM/ PLM Einführung ,,,Literatur 
2784,,,,,,,,,,,,,,,,,und/oder in Fertigung und Betrieb. ,Wirtschaftliche Aspekte der PDM/ PLM Einführung ,,, 
2785,,,,,,,,,,,,,,,,,Die Studierenden können unter Anleitung eine fachliche ,PDM / PLM Einführungsstrategien ,,, 
2786,,,,,,,,,,,,,,,,,Problemstellung im betrieblichen Umfeld bearbeiten und ,Systemarchitekturen für PDM/ PLMKonkrete PDM–Systeme; ,,, 
2787,,,,,,,,,,,,,,,,,erfolgreich lösen. ,Funktionen und Möglichkeiten ,,, 
2788,,,,,,,,,,,,,,,,,Sie besitzen Kenntnisse über praktische Verfahren der ,Unternehmensbeispiel konkret realisierter Lösungen ,,, 
2789,,,,,,,,,,,,,,,,,"Algorithmen-, Software- bzw. User Interface Entwicklung ",Übung/Tutorium : ,,,Seite 459   Inhaltsverzeichnis 
2790,,,,,,,,,,,,,,,,,und/oder über die Verwendung moderner Technologien in der ,Übungsaufgaben ausgewählter Inhalte der Vorlesungen ,,,     
2791,,,,,,,,,,,,,,,,,Informations- und ,Lösung eines konkretes PLM Projektes (am Beispiel) über alle ,,, 
2792,,,,,,,,,,,,,,,,,Kommunikationstechnik. ,Phasen im Rahmen eines konkreten Beispieles ,,,"Weck, M.; Brecher, C.: Werkzeugmaschinen, Band 1-5, Springer "
2793,,,,,,,,,,,,,,,,,Lernziele & erworbene Kompetenzen: ,Im Rahmen laufender Forschungsprojekte am Leibniz-Institut ,,,"Verlag Tönshoff, H.K.: Werkzeugmaschinen – Grundlagen, "
2794,,,,,,,,,,,,,,,,,Der/die Studierende soll im Schwerpunkt Sicherheit und ,wird an der Ausarbeitung und Durchführung von ,,,Springer Verlag 
2795,,,,,,,,,,,,,,,,,Kryptologie innerhalb eines Praktikums ,"neurobiologischen Lernexperimenten mittels fMRI, MEG, EEG ",,,"Heimann, B.; Gerth, W.; Popp, K.: Mechatronik, Fachbuchverlag "
2796,,,,,,,,,,,,,,,,,(Softwareentwicklungsprojekt) ergänzende praktische ,und Elektrophysiologie gearbeitet. Schwerkunkt bei der ,,,"Leipzig Rieg, F.; Hackenschmidt, R.: Finite Elemente Analyse für "
2797,,,,,,,,,,,,,,,,,Fähigkeiten der IT-Sicherheit erwerben. Dabei soll er/sie ein ,Datenauswertung ist die Zeitreihenanalyse neuronaler- und ,,,"Ingenieure, Hanser Verlag "
2798,,,,,,,,,,,,,,,,,aktuelles und anspruchvolles Thema innerhalb einer ,Verhaltensdaten ,,,"Dresig, H.; Holzweißig, F.: Maschinendynamik, Springer Verlag "
2799,,,,,,,,,,,,,,,,,dazugehörigen Aufgabenstellung selbständig bearbeiten und ,"Trainingsmethoden & Architekturen für generative Modelle, ",,,"Hering, E.; Bressler, K.; Gutekunst, J.: Elektrotechnik für "
2800,,,,,,,,,,,,,,,,,lösen sowie mündlich präsentieren und schriftlich ,insbesondere Restricted und Deep Boltzmann Machines (RBMs ,,,"Ingenieure und Naturwissenschaftler, Springer Verlag "
2801,,,,,,,,,,,,,,,,,dokumentieren. ,"bzw. DBMs), Deep Belief Nets (DBNs), Autoregressive Modelle, ",,,"Lutz, H.; Wendt, W.: Taschenbuch der Regelungstechnik, Verlag "
2802,,,,,,,,,,,,,,,,,Students have understood and practiced the skills necessary for ,Variational Learning und Generative Adversarial Nets (GANs) ,,,Harri Deutsch 
2803,,,,,,,,,,,,,,,,,"scientific work and writing scientific publications, such as a ",Definitionen verschiedener Varianten von L-Systemen; ,,, 
2804,,,,,,,,,,,,,,,,,Master’s thesis. Students have learned soft skills and ,"Theoretische Ergebnisse zu Erzeugungsmächtigkeiten, ",,, 
2805,,,,,,,,,,,,,,,,,"corresponding techniques, helpful for mastering their studies ","Komplexitätsbetrachtungen, Wachstumsfunktionen u.a.; ",,, 
2806,,,,,,,,,,,,,,,,,"and also their professional and private life, such as setting goals, ",Anwendungen in der Computergraphik (Erzeugung von ,,, 
2807,,,,,,,,,,,,,,,,,time management and working in teams. ,"Fraktalen, Modellierung von Pflanzen) ",,, 
2808,,,,,,,,,,,,,,,,, , ,,,Seite 461   Inhaltsverzeichnis 
2809,,,,,,,,,,,,,,,,,Students should ,Grundlagen des Demokratiebegriffs: repräsentative vs. Direkte ,,,     
2810,,,,,,,,,,,,,,,,,Learn fundamentals of multivariable process control with special ,Demokratie ,,, 
2811,,,,,,,,,,,,,,,,,emphasis on decentralized control ,Aktuelle Konzepte der partizipatorischen Demokratie: Liquid ,,, 
2812,,,,,,,,,,,,,,,,,Gain the ability to apply the above mentioned methods for the ,"Democrcy, Proxy-/ Delegated Voting, etc. ",,, 
2813,,,,,,,,,,,,,,,,,control of single and multi unit processes ,Konzepte der gemeinschaftlichen/gesellschaftlichen ,,, 
2814,,,,,,,,,,,,,,,,,Gain the ability to apply advanced software (MATLAB) for ,Willensbildung und Entscheidungsfindung ,,, 
2815,,,,,,,,,,,,,,,,,computer aided control system design ,"Unterstützung durch Informationssysteme wie LiquidFeedback, ",,,Seite 462   Inhaltsverzeichnis 
2816,,,,,,,,,,,,,,,,,Klassifikation von Komponenten technischer Systeme ,"Adhocracy, etc. ",,,     
2817,,,,,,,,,,,,,,,,,hinsichtlich ihrer Modellcharakteristika ,"Anwendungsfelder für Logik in der Informatik, ",,, 
2818,,,,,,,,,,,,,,,,,Vermittlung der meth. Grundl. für die ,Logische Syntax (Formelbegriff und Argumentbegriff für ,,,siehe http://wwwisg.cs.uni-magdeburg.de/bv/mba/mba.html 
2819,,,,,,,,,,,,,,,,,"Produktdatenbeschreibung, dazu gehören: Merkmalsysteme, ","Aussagenlogik und Prädikatenlogik), ",,, 
2820,,,,,,,,,,,,,,,,,semantische Netze und Notationsformen wie z.B. XML und ,"formale Repräsentation von Wissen, ",,, 
2821,,,,,,,,,,,,,,,,,Klassendiagramme ,Logische Semantik von zwei- und dreiwertiger Aussagenlogik ,,, 
2822,,,,,,,,,,,,,,,,,Vorstellung wesentlicher Standards auf dem Gebiet wie z.B. IEC ,"sowie Prädikatenlogik, ",,, 
2823,,,,,,,,,,,,,,,,,"61360, ecl@ss, ETIM, BMEcat, PROLIST ", ,,, 
2824,,,,,,,,,,,,,,,,,Vorstellung eines merkmalbasierten Informationsmodells , ,,,Seite 464   Inhaltsverzeichnis 
2825,,,,,,,,,,,,,,,,,"mechanisch, elektrische und automatisierungstechnische ",Seite 424   Inhaltsverzeichnis ,,,     
2826,,,,,,,,,,,,,,,,,Anwendungsbeispiele ,     ,,, 
2827,,,,,,,,,,,,,,,,, , ,,,"B. Preim und D. Bartz: Visualization in Medicine, Morgan "
2828,,,,,,,,,,,,,,,,,Lernziele und zu erwerbende Kompetenzen: ,Domänenspezifische Sprachen und Abstraktion zu allgemeinen ,,,"Kaufman, San Francisco, 2006Preim, Botha: Visual Computing "
2829,,,,,,,,,,,,,,,,,Umsetzung einer Produktentwicklung mit den Teilaspekten der ,"logischen Sprachen, ",,,"for Medicine, 2nd Edition, , Morgan Kaufman, San Francisco, "
2830,,,,,,,,,,,,,,,,,konstruktiven und rechnerischen Auslegung und der ,"Folgerungsbegriff und logische Folgerung, ",,,2013 
2831,,,,,,,,,,,,,,,,,experimentellen Validierung anhand konkreter Fragestellungen ,"Regelsysteme (u.a. für Formeln und Beweise), ",,, 
2832,,,,,,,,,,,,,,,,,des Maschinenbaus ,"grundlegende Algorithmen für logische Probleme (SAT-Solving, ",,, 
2833,,,,,,,,,,,,,,,,,"Die Studierenden sind in der Lage, grundlegende ","Hornformel-Algorithmus, Überführung in Normalformen) ",,, 
2834,,,,,,,,,,,,,,,,,Fragestellungen eines Produktentwicklungsprozesses zu , ,,, 
2835,,,,,,,,,,,,,,,,,bearbeiten und einer Lösung zuzuführen , ,,, 
2836,,,,,,,,,,,,,,,,,"Die Studierenden sin der Lage, die von Ihnen bearbeiteten ","Anwendungsfelder für Logik in der Informatik, ",,,Seite 466   Inhaltsverzeichnis 
2837,,,,,,,,,,,,,,,,,Teilaufgaben im Kontext einer Gesamtentwicklung zu ,Logische Syntax (Formelbegriff und Argumentbegriff für ,,,     
2838,,,,,,,,,,,,,,,,,"definieren, abzugrenzen und notwendige Schnittstellen zu ","Aussagenlogik und Prädikatenlogik), ",,, 
2839,,,,,,,,,,,,,,,,,anderen Teilprojekten darzustellen ,"formale Repräsentation von Wissen, ",,,s. Vorlesung 
2840,,,,,,,,,,,,,,,,,Fähigkeit zur Bewertung von Ergebnissen ,Logische Semantik von zwei- und dreiwertiger Aussagenlogik ,,, 
2841,,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,"sowie Prädikatenlogik, ",,, 
2842,,,,,,,,,,,,,,,,,Erwerb von Kenntnissen zu wesentlichen Planungsaufgaben auf ,Domänenspezifische Sprachen und Abstraktion zu allgemeinen ,,, 
2843,,,,,,,,,,,,,,,,,dem Gebiet von Produktion und Logistik sowie zu deren ,"logischen Sprachen, ",,, 
2844,,,,,,,,,,,,,,,,,mathematischer Modellierung. Vermittlung von ,"Folgerungsbegriff und logische Folgerung, ",,, 
2845,,,,,,,,,,,,,,,,,Lösungskonzepten für die o.g. Planungsprobleme unter , ,,,Seite 467   Inhaltsverzeichnis 
2846,,,,,,,,,,,,,,,,,Einführung in weiterführende Methoden des Operations , ,,,     
2847,,,,,,,,,,,,,,,,,Research. ,Seite 426   Inhaltsverzeichnis ,,, 
2848,,,,,,,,,,,,,,,,, ,     ,,,"Schrüfer,E. Elektrische Messtechnik, Hanser 1995, "
2849,,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: , ,,,"Hauptmann, P. Sensoren, Hanser 1992 "
2850,,,,,,,,,,,,,,,,,Notwendigkeit und Rolle eines konsistenten Produktmodells für ,"Regelsysteme (u.a. für Formeln und Beweise), ",,, 
2851,,,,,,,,,,,,,,,,,den Produktlebenszyklus verstehen ,"grundlegende Algorithmen für logische Probleme (SAT-Solving, ",,, 
2852,,,,,,,,,,,,,,,,,Verschiedene Strategien und Möglichkeiten der ,"Hornformel-Algorithmus, Überführung in Normalformen) ",,, 
2853,,,,,,,,,,,,,,,,,Produktmodellierung und der Visualisierung an Systemen , ,,, 
2854,,,,,,,,,,,,,,,,,unterschiedlicher Modellierungsphilosophie kennenlernen ,"Zusammenfassung Aussagenlogik, Hornlogik, Prädikatenlogik, ",,, 
2855,,,,,,,,,,,,,,,,,Relevante Funktionen der Produktmodellierung ,"Gleichungslogik, Modallogik, Temporallogik, Programmlogik, ",,,Seite 469   Inhaltsverzeichnis 
2856,,,,,,,,,,,,,,,,,Relevante Funktionen der Optimierung von Bauteilen ,"weitere logische Systeme, Hilbert-Kalküle ",,,     
2857,,,,,,,,,,,,,,,,,kennenlernen ,Vernetztes Denken: ,,, 
2858,,,,,,,,,,,,,,,,,Nutzung der Konstruktionsdaten in einem Visualisierungssystem ,Theorie des Vernetzten Denkens/ komplexer Systeme ,,, 
2859,,,,,,,,,,,,,,,,,(VR) beherrschen ,Ecopolicy – Planspiel für den Umgang mit komplexen Systemen ,,, 
2860,,,,,,,,,,,,,,,,,Integriertes Modell mit unterschiedlichen Partialmodellen für ,Sensitivitätsanalyse nach Prof Vester ,,, 
2861,,,,,,,,,,,,,,,,,Produktmodellierung und Visualisierung Grundlagen der ,Logistische Netzwerke: ,,, 
2862,,,,,,,,,,,,,,,,,Parametrik und der Feature-Technologie (Standard- und ,Einführung in das SCM ,,, 
2863,,,,,,,,,,,,,,,,,erweiterte Features) Grundlagen der Makro-Programmierung in , ,,, 
2864,,,,,,,,,,,,,,,,,CAx-Systemen Modellierungsstrategien und -techniken , ,,,Seite 470   Inhaltsverzeichnis 
2865,,,,,,,,,,,,,,,,,Visualisierungsstrategien und -techniken Festigkeitsanalysen in ,Seite 429   Inhaltsverzeichnis ,,,     
2866,,,,,,,,,,,,,,,,,CAx-Systemen Bauteiloptimierung ,     ,,, 
2867,,,,,,,,,,,,,,,,,Kenntnisse in den wesentlichen Programmierparadigmen , ,,,"Dumke, R.: Verteilte Systeme, http://ivs.cs.uni-magdeburg.de/sw-"
2868,,,,,,,,,,,,,,,,,Anwenden der der Techniken dieser Paradigmen ,Typologie von Logistiknetzwerken ,,,eng/agruppe/lehre/vts.shtml 
2869,,,,,,,,,,,,,,,,,Entscheidungskompetenz zur Anwendung von geeigneten ,Planungs- und Steuerungsmethoden ,,,Microsoft Corporation: DCOM - Architecture Overview - Technical 
2870,,,,,,,,,,,,,,,,,Programmierparadigmen in der Praxis ,"Produkte und Prozesse – Variantenmanagement, Mass ",,,"Whitepaper, http://microsoft.com/com/doc, 1997 "
2871,,,,,,,,,,,,,,,,, ,Customization ,,,"Schmidt, D.; Stal, M.; Rohnert, H.; Buschmann, F.: Pattern-Oriented "
2872,,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,Kooperation und Organisation – SCM-Kultur und – ,,,Software Architecture - Patterns for Concurrent and Networked 
2873,,,,,,,,,,,,,,,,,"Verständnis der Beeinflussung der Aspekte Kundenorientierung, ","strategie, Verträge und Anreize, Double Marginalization ",,,"Objects, Volume 2, Wiley & Sons, 2000 "
2874,,,,,,,,,,,,,,,,,Produktivität und Wert einer Organisation durch Prozesse ,Ausgangspunkt bildet die Datenerhebung. Hierbei wird generell ,,,"Selic, B., Gullekson, G., Ward, P. T.: Real-Time Object-Oriented "
2875,,,,,,,,,,,,,,,,, Anwendung einer methodischen Herangehensweise zur Analyse ,"darauf fokussiert den Aufwand zu minimieren, dabei gleichzeitig ",,,"Modelling, John Wiley & Sons, 1994 "
2876,,,,,,,,,,,,,,,,,und Optimierung von Prozessen ,aber die Aktualität und Repräsentanz des Datenmaterials zu ,,,"Selic, B., Rumbaugh, J.: Using UML for Modeling Complex Real-Time "
2877,,,,,,,,,,,,,,,,,Anwendung einer methodischen Herangehensweise zur ,sichern. In Präsenzveranstaltungen wird das methodische ,,,"Systems, Rational Software, 1998 "
2878,,,,,,,,,,,,,,,,,Messung von Prozessleistungen ,"Vorgehen zur Durchführung von güterbezogenen, von ",,,"van der Wal, Eelco: Structuring Program Development with IEC "
2879,,,,,,,,,,,,,,,,,Anwendung einer methodischen Herangehensweise zur ,ressourcenbezogenen und von Fließsystemanalysen erläutert. ,,,"61131-3, Internet: "
2880,,,,,,,,,,,,,,,,,Einführung eines Prozessmanagements in Organisationen ,An Beispielaufgaben werden die Berechnung grundlegender ,,,www.plcopen.org/intro_iec/structuring_program_development.htm 
2881,,,,,,,,,,,,,,,,, ,statistischer Kenngrößen und Kennzahlen sowie deren ,,," Tanenbaum, A.; van Steen, M.: Verteilte Systeme - Grundlagen "
2882,,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,Interpretation trainiert. Hierbei werden auch analytische ,,,"und Paradigmen, Pearson Studium, 2003 "
2883,,,,,,,,,,,,,,,,,"Verständnis des Spannungsfeldes aus Qualität, Kosten und Zeit ",Methoden des Qualitätsmanagements speziell zur Visualisierung ,,,"Veríssimo, P.; Rodrigues, L.: Distributed Systems for System "
2884,,,,,,,,,,,,,,,,,Anwendung einer methodischen Herangehensweise zur , ,,,"Architects, Kluwer Academic Publishers, 2001 "
2885,,,,,,,,,,,,,,,,,Einführung eines Qualitätsmanagements in , ,,,"Weber, M.: Verteilte Systeme, Spektrum Akademischer Verlag "
2886,,,,,,,,,,,,,,,,,OrganisationenVerständnis der rechtlichen Folgen mangelnder ,Seite 431   Inhaltsverzeichnis ,,,"GmbH, 1998 "
2887,,,,,,,,,,,,,,,,,QualitätAnwendung von methodischen Herangehensweisen zur ,     ,,, 
2888,,,,,,,,,,,,,,,,,"Messung des Spannungsfeldes aus Qualität, Kosten und Zeit ", ,,, 
2889,,,,,,,,,,,,,,,,,Anwendung eines prozessorientierten Qualitätsmanagements ,und Interpretation (von Strichlisten bis zu Ishikawa-,,, 
2890,,,,,,,,,,,,,,,,, ,Diagrammen) angewendet. Das Methodenspektrum wird durch ,,, 
2891,,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,Prognosemethoden (inklusive Regression) und ,,, 
2892,,,,,,,,,,,,,,,,,Erwerb von Grundkenntnissen zu Verfahren und Methoden des ,Klassifizierungsmethoden (inklusive Clusteranalyse) ergänzt. Zur ,,,Seite 472   Inhaltsverzeichnis 
2893,,,,,,,,,,,,,,,,,Qualitätsmanagements zur Sicherung und Verbesserung der ,Ableitung von Verbesserungsmaßnahmen werden Business ,,,     
2894,,,,,,,,,,,,,,,,,Qualität von Prozessen und Produkten ,Reengineering und Kaizen- Techniken erläutert und die Rolle ,,, 
2895,,,,,,,,,,,,,,,,,"Vertrautheit mit dem Anliegen, der Einführung und ",und Nutzbarkeit des Benchmarking zur Identifikation von Best ,,,Wird in der Vorlesung bekannt gegeben 
2896,,,,,,,,,,,,,,,,,Zertifizierung von Qualitätsmanagementsystemen ,Practices diskutiert. Den Abschluss bilden präventive Methoden. ,,, 
